name,assessmentdate,Ecc_Rel_FF,Conc_Rel_FF,Net_Rel_Conc_Force,height,reach,laterforcebwavg,skater_hip_abduction_average,skater_hip_velocity_average,delta_average,kneevelo_avg,hawks
Aaron Gordon,5/23/2017,51,60,61,74,63,15.5,73.5,69,82.5,38,0
Aaron Gordon,5/5/2014,34,75,84,76,54,59.5,35,29.5,90,36,0
Aaron Harrison,4/16/2015,92,63,78,38,31,80.5,35.5,22,25.5,66,0
Aaron Holiday,5/25/2018,43,48,38,4,7,12,97.5,71,13.5,23.5,0
Abdouleye Gueye,7/6/2018,45,63,47,78,80,41,55,16,45,26.5,0
Abdouleye Gueye,9/14/2018,27,37,39,78,81,70,42.5,23,48,26,0
Ajdin Penava,4/16/2018,14,38,54,79,82,8,23.5,19,6,5.5,0
Al Horford,8/4/2015,82,54,52,83,79,20,25.5,9.5,80,49.5,0
Alec Brown,4/1/2014,16,6,12,87,90,13,77.5,71,27.5,17,0
Alize Johnson,5/17/2018,49,83,71,65,36,48,46.5,47,14.5,32.5,0
Allen Robinson,7/12/2017,100,99,94,17,3,92.5,75.5,66.5,100,85,0
Allonzo Trier,5/18/2018,21,73,63,37,7,38,44.5,67,88,80,0
Amadou Sow,6/25/2018,48,59,54,79,61,56.5,84.5,96,79.5,83,0
Amadou Sow,9/12/2018,44,50,52,72,62,33.5,40,90,73,69.5,0
Andre Drummond,6/13/2016,4,82,89,88,94,33.5,74,70.5,63.5,21,0
Andre Drummond,5/25/2017,12,92,95,89,94,54,47.5,48,71.5,23.5,0
Anfernee Simons,5/17/2018,78,95,92,18,17,74,72,42.5,95.5,87,0
Anonymous Athlete,5/31/2018,48,9,10,8,18,54,47.5,62.5,84,92,0
Anthony Bennett,6/4/2015,77,31,35,71,70,20,81,34,85.5,58.5,0
Armond Davis,7/2/2018,43,86,81,43,24,59,17.5,40,64.5,64,0
Armond Davis,9/12/2018,86,87,75,45,25,54,15.5,40,68,43.5,0
Austin Wiley,5/17/2018,23,28,41,82,89,58.5,47.5,23.5,14,5.5,0
Billy Preston,5/17/2018,32,35,41,88,70,54.5,57.5,18.5,18,18,0
Boris Diaw,8/31/2016,20,25,27,64,77,18,10.5,50.5,8,11,0
Bradley Beal,7/15/2015,68,50,44,37,35,26.5,59,80.5,68,68.5,0
Brandan Wright,9/23/2015,56,65,64,89,84,65,25,38,95,92.5,0
Brandon Alston,7/27/2018,57,24,25,31,8,21.5,90.5,73,85,54.5,0
